cid,rhealth,raceth,fem,pfem,sprhealth,marstrain,simx,simy,marhappy
434,Fair,nh-white,0,0,5,-1,16.262651,6.0945373,1
434,Excellent,hispanic,0,0,2,-1,24.832758,5.9199924,1
435,Excellent,nh-white,0,0,4,.25,23.185209,4.7319269,-.25
435,Very Good,nh-white,0,0,5,-1.75,23.051712,3.5872812,1.75
436,Good,nh-white,1,1,5,-1.75,18.377966,4.4960499,1.75
436,Excellent,nh-white,1,1,3,-1.75,22.212606,4.6062093,1.75
438,Good,nh-white,1,1,3,-1,17.815443,3.0682859,1
438,Good,nh-white,1,1,3,-.25,16.683088,1.1420664,.25
439,Excellent,nh-black,0,0,3,-1.5,21.197395,4.7263122,1.5
439,Good,nh-white,0,0,5,-1.5,18.926779,1.5555276,1.5
440,Fair,nh-white,1,0,4,-1,16.550285,1.3580335,1
440,Very Good,nh-white,0,1,2,0,20.058365,2.8911128,0
443,Good,nh-white,0,0,3,-1.5,16.52986,4.8841925,1.5
443,Good,nh-white,0,0,3,-1.5,19.713804,3.2174003,1.5
444,Good,nh-white,1,0,3,-1.75,16.620359,1.8262964,1.75
444,Good,nh-white,0,1,3,-2,17.769464,1.7461749,2
445,Poor,hispanic,1,0,4,-1.75,10.776464,2.2308102,1.75
445,Very Good,hispanic,0,1,1,-1.75,21.153999,3.9813309,1.75
446,Excellent,nh-white,1,1,5,-1.75,22.717253,4.2740173,1.75
446,Excellent,nh-white,1,1,5,-1.75,20.821815,3.9655247,1.75
448,Fair,nh-white,1,0,4,-.25,17.877747,-.75857717,.25
448,Very Good,nh-white,0,1,2,-.5,18.953701,4.3154931,.5
449,Very Good,nh-white,0,0,4,-.75,20.674673,4.0739713,.75
449,Very Good,nh-white,0,0,4,-.75,18.872602,3.7111583,.75
450,Very Good,nh-white,0,0,2,-.75,17.297665,3.7292929,.75
450,Fair,nh-white,0,0,4,-2,13.499891,1.0854504,2
451,Very Good,nh-white,1,1,4,-.25,22.99781,-1.2769768,.25
451,Very Good,nh-white,1,1,4,-1.25,17.819042,2.4058406,1.25
452,Good,nh-white,0,1,3,-1.75,17.068302,2.015661,1.75
452,Good,nh-white,1,0,3,-1.25,18.470137,2.2505789,1.25
454,Excellent,nh-white,1,0,3,-1.5,23.22179,5.7823243,1.5
454,Good,nh-white,0,1,5,-1.25,16.944822,2.6123416,1.25
455,Very Good,nh-asian,1,1,2,-1.25,20.900017,4.203126,1.25
455,Fair,nh-asian,1,1,4,-.75,16.533533,-.9307,.75
457,Good,nh-white,0,0,3,-1.5,20.898756,2.8327906,1.5
457,Good,nh-white,0,0,3,-.75,15.684732,2.199193,.75
459,Very Good,nh-white,1,1,2,-.75,23.170969,2.172581,.75
459,Fair,nh-white,1,1,4,-1.75,17.623219,1.6387984,1.75
460,Good,nh-white,1,1,3,-1.75,17.842775,7.7090688,1.75
460,Good,nh-white,1,1,3,-.75,17.379581,2.052732,.75
461,Good,nh-white,1,1,4,-1.5,17.780701,2.1971509,1.5
461,Very Good,nh-white,1,1,3,-1.5,18.47175,5.121942,1.5
462,Very Good,nh-white,0,0,4,-1,21.04401,5.3266406,1
462,Very Good,nh-white,0,0,4,-.5,20.486227,4.3640409,.5
463,Excellent,nh-white,0,0,5,-1.75,19.680584,4.9625039,1.75
463,Excellent,nh-white,0,0,5,-1.75,21.577187,6.6385708,1.75
464,Very Good,nh-white,1,1,4,-1,18.653252,8.2612247,1
464,Very Good,nh-white,1,1,4,-2,19.041431,3.2481768,2
465,Good,nh-white,0,0,4,-.5,13.165563,4.4759002,.5
465,Very Good,nh-asian,0,0,3,-.75,19.335588,5.6700473,.75
